114.119.153.161 - - [10/Jun/2026:00:00:52 +0200] "GET /~miniev01/R213_2021/G3/TP2/exercice/?C=S%3BO%3DA HTTP/1.1" 403 4757 "https://mmi.unilim.fr/~miniev01/R213_2021/G3/TP2/exercice/?C=N%3BO%3DD" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (HTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
164.81.120.43 - - [10/Jun/2026:00:01:09 +0200] "POST /~thierry18/laboutiquezelda/wp-cron.php?doing_wp_cron=1781042469.2280600070953369140625 HTTP/1.1" 200 4612 "-" "WordPress/7.0; https://mmi.unilim.fr/~thierry18/laboutiquezelda"
164.81.76.4 - - [10/Jun/2026:00:01:08 +0200] "POST /~thierry18/laboutiquezelda/wp-admin/admin-ajax.php HTTP/1.1" 200 5230 "https://mmi.unilim.fr/~thierry18/laboutiquezelda/wp-admin/admin.php?page=duplicator-import" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
114.119.135.98 - - [10/Jun/2026:00:01:32 +0200] "GET /~perrier58/php/TD1/?C=D%3BO%3DA HTTP/1.1" 403 4757 "https://mmi.unilim.fr/~perrier58/php/TD1/?C=N%3BO%3DD" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (HTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
114.119.157.214 - - [10/Jun/2026:00:02:20 +0200] "GET /~chaari7/ChaariYnesSae203/server/ HTTP/1.1" 403 4757 "https://mmi.unilim.fr/~chaari7/ChaariYnesSae203/" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (HTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
164.81.120.43 - - [10/Jun/2026:00:03:10 +0200] "POST /~thierry18/laboutiquezelda/wp-cron.php?doing_wp_cron=1781042590.2529580593109130859375 HTTP/1.1" 200 4612 "-" "WordPress/7.0; https://mmi.unilim.fr/~thierry18/laboutiquezelda"
164.81.76.4 - - [10/Jun/2026:00:03:09 +0200] "POST /~thierry18/laboutiquezelda/wp-admin/admin-ajax.php HTTP/1.1" 200 835 "https://mmi.unilim.fr/~thierry18/laboutiquezelda/wp-admin/admin.php?page=duplicator-import" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36"
114.119.131.199 - - [10/Jun/2026:00:03:43 +0200] "GET /~vinatie1/R213/TD2/exercice1/server/?C=M%3BO%3DA HTTP/1.1" 403 4757 "https://mmi.unilim.fr/~vinatie1/R213/TD2/exercice1/server/?C=D%3BO%3DA" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (HTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
86.254.82.135 - - [10/Jun/2026:00:05:17 +0200] "GET /edt/ics/dfaca109baa6ec57aaed557cb94018f8.ics HTTP/1.1" 304 4696 "-" "macOS/26.5.1 (25F80) dataaccessd/1.0"
114.119.157.214 - - [10/Jun/2026:00:06:09 +0200] "GET /~vinatie1/R213/TD3?C=S%3BO%3DA HTTP/1.1" 403 4757 "https://mmi.unilim.fr/~vinatie1/R213/TD3?C=S%3BO%3DA" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (HTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
77.136.66.30 - - [10/Jun/2026:00:06:59 +0200] "GET /edt/ics/but1-g4.ics HTTP/1.1" 200 159358 "-" "iOS/26.5 (23F77) dataaccessd/1.0"
77.136.66.30 - - [10/Jun/2026:00:06:59 +0200] "GET /edt/ics/but3-g21.ics HTTP/1.1" 200 7164 "-" "iOS/26.5 (23F77) dataaccessd/1.0"
